Year,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Some College,2229,762,3530,0,1755,3659,2178,6171,1964,8647,2641,11128,1737,13663,2130,15913,1519,18584,2272,20886,1344,23677,2051,25829,1086,28546,2014,30815,855,33640,1586,35762,802,38489,1421,40763,576,43536,924,45754,537,48534,1120,50764,396,53642,547,55772,297,58639,757,60678,222,63627,444,65686,194,68580,392,70843,159,73545,325,75578,119,78782,265,80558,107,83531,176,85831,87,88664,176,90797,84,93556,88,95927,92,98716,1236,149024
2006,AA Degree,788,639,892,0,346,3602,593,6212,630,8625,813,11137,595,13608,850,15985,603,18653,862,20922,586,23705,970,25817,601,28479,983,30804,470,33673,779,35763,425,38598,816,40768,315,43565,506,45787,290,48526,636,50728,257,53575,351,55826,201,58628,500,60650,173,63550,292,65718,141,68632,258,70950,80,73492,178,75770,77,78615,194,80555,88,83496,114,85841,44,88702,112,90827,46,93680,59,96099,28,98595,703,150095
2006,Bachelor's Degree,1687,542,1803,0,674,3553,845,6169,791,8630,1253,11134,836,13648,1126,15945,763,18523,1210,20830,844,23704,1297,25874,759,28564,1823,30836,909,33584,1624,35718,811,38546,1679,40766,697,43565,1255,45813,696,48514,1674,50694,555,53614,874,55794,457,58615,1173,60732,478,63595,789,65747,333,68606,826,70835,360,73666,682,75636,320,78580,666,80680,257,83637,397,85890,188,88584,441,90877,226,93538,286,95803,160,98764,4415,172089
2006,Master's Degree,440,482,389,0,156,3611,158,6160,183,8609,271,11131,192,13745,250,15975,230,18532,327,21082,207,23710,268,25923,214,28617,414,30973,251,33746,445,35847,248,38591,599,40939,277,43580,470,45759,302,48539,552,50833,302,53643,411,55933,208,58539,546,60773,207,63490,337,65802,181,68502,375,70811,172,73580,285,75651,160,78683,270,80623,99,83607,220,85956,93,88731,173,90759,125,93451,146,96053,75,98707,2527,172554
2006,Professional Degree,62,457,89,0,34,3434,26,6276,35,8615,36,11102,39,13690,65,15985,38,18336,62,20824,32,23580,44,25980,28,28425,65,30792,23,33986,54,35951,22,38662,94,40684,12,43549,82,45716,60,48414,92,50672,41,53914,70,55864,45,58435,63,60543,34,63430,37,65716,11,68512,86,70805,27,73805,61,75793,10,78492,64,80775,18,83440,30,86010,19,88445,57,90802,22,93324,29,96056,32,98728,1261,218087
2006,Doctorate,37,742,55,0,23,3456,36,6517,23,8580,24,11491,21,13239,45,15944,18,18553,24,21191,33,23249,35,25846,23,28612,39,30749,25,33759,46,35804,18,38478,84,40936,38,43684,52,45948,27,48655,94,50725,36,53841,53,56109,25,58428,104,60763,28,63561,26,65799,24,68371,46,70785,24,73761,78,75595,50,78391,47,80699,22,83440,36,85580,21,88693,51,90882,14,93584,36,96240,27,98651,927,191580
2008,No High School,869,759,3449,0,501,3773,965,6362,1332,8653,1319,11133,851,13658,879,15887,519,18535,700,20739,284,23654,315,25794,192,28499,357,30624,139,33691,169,35550,82,38569,135,40680,48,43687,64,46076,25,48631,104,50557,26,53850,40,55697,7,58167,32,60397,7,63602,8,65521,5,68469,22,70507,5,73011,7,75605,4,79484,12,80899,1,83404,9,85914,4,89235,9,90762,6,94374,4,97000,.,.,52,165570
2008,Some High School,3486,828,11112,0,1751,3582,1949,6142,2053,8588,1813,11107,1136,13646,1397,15902,823,18534,1048,20862,561,23734,683,25912,419,28527,647,30767,239,33598,336,35653,181,38504,326,40774,93,43532,163,45725,72,48548,189,50391,73,53610,73,55545,36,58473,96,60684,34,63528,45,66172,28,68561,42,70394,26,73718,41,75314,19,78856,21,80574,23,83728,22,85865,11,88629,19,90824,5,93686,11,95960,6,99175,124,178358
2008,High School Grad,2909,698,6850,0,2025,3700,3225,6252,4266,8620,4552,11144,3614,13640,4231,15966,3017,18566,4200,20888,2643,23678,3485,25803,2105,28511,3547,30748,1426,33662,2752,35762,1276,38579,2356,40682,826,43639,1296,45667,732,48510,1742,50687,515,53534,697,55643,394,58481,1019,60612,277,63612,511,65690,230,68360,510,70757,216,73701,386,75630,168,78714,291,80640,96,83418,154,85907,95,88637,167,90582,74,93687,124,95916,39,98580,1219,158938
2008,Some College,2534,819,3592,0,1775,3668,2152,6122,2175,8618,2752,11109,1766,13636,2196,15998,1514,18587,2287,20887,1411,23637,2061,25812,1253,28540,2075,30802,977,33688,1637,35799,822,38580,1457,40806,556,43605,1017,45718,542,48584,1240,50672,451,53643,602,55733,308,58638,715,60719,314,63568,445,65713,222,68495,500,70802,162,73621,316,75709,195,78603,324,80645,113,83686,166,85551,115,88558,180,90855,48,93421,112,95772,82,98549,1201,157275
